id,predicted,actual
16332,65.71879712074855,17
15204,29.964204607514656,10
7423,10.288641887783307,35
18101,-2.650551768783245,15
12433,55.458828763417216,18
21732,103.69357969850866,20
17338,66.87033180998114,200
15450,42.6712076909175,12
14345,33.29750597909134,12
12724,67.74139966381307,18
7043,71.44478990699201,59
18056,165.4938909424444,140
9979,42.06914680176645,9
10370,37.1299413364557,40
22487,288.5565415338842,230
20697,44.975694310727036,29
1724,49.18522188967134,20
17890,78.1124687010123,330
13138,28.02502330172326,20
10571,44.59264180732687,55
20773,42.37794583204975,17
21093,46.20277430208375,15
6316,44.526527758719645,18
16893,33.62809853742202,18
12118,28.88758153349128,35
11933,40.26926969213272,25
383,30.705173894429393,16
16638,101.08475365738605,45
14614,38.7892400264507,15
19025,33.976120786820175,120
16538,54.89585883582077,42
7722,66.5287790399912,25
17118,37.97826745065684,39
8918,19.809116265500634,11
12758,-38.37084965134925,35
19893,35.6206917567865,60
11317,42.328282559128155,45
574,226.73312194686068,7
17695,47.084876893940894,26
897,37.09619622697876,21
18758,34.81013325811457,32
19658,39.975092876946135,25
19307,55.13209346451077,23
19768,46.52630221381183,99
20083,78.20216506083125,35
21844,97.97047779129534,69
18910,42.20870358948194,13
5773,72.338471786495,18
141,19.62120437721945,14
15639,73.33462174270078,48
5259,54.228733710352536,14
608,59.432619794687376,129
11509,46.49240716824895,10
1819,37.51988351104576,15
16289,36.6645719495794,15
1370,67.70862213622777,25
18969,20.843971635102854,27
8818,47.137910439578505,85
4351,42.74971467365093,38
7360,69.61595045204686,37
13080,36.8537143095505,32
10022,59.572384382728586,45
18107,99.78371410297324,40
1299,79.0235218352851,30
19352,43.03727608225117,14
466,38.70726092043612,36
16603,36.28361486409573,25
19736,17.779583369856233,245
10489,15.886985104184255,13
8669,30.49542860365664,8
5108,58.019270664391804,18
19082,116.4562384857262,45
9214,69.58961688945077,13
13304,49.637757523996136,70
6746,11.8318354017048,48
22445,18.956240518423847,55
17713,41.46133835493462,45
11130,3494.2420197286656,3925
6837,180.80326077254938,32
14399,42.386041810637465,50
20283,43.23260400833706,5
12524,31.037777080851768,10
18930,60.79516302792955,65
16853,10.771763379231302,30
13978,78.51942249551786,40
11961,38.79696459311374,35
6431,38.15532480724189,4
18005,52.860903451763896,75
1893,25.637926376905526,10
4742,31.141420733814307,59
14574,70.88024252657961,97
15235,23.458663121978596,19
22651,148.0511998076998,15
